userId,gender,age_group,occupation
304,Male,25-34,Other
305,Female,18-24,Other
306,Male,18-24,Other
307,Male,50-55,Lawyer
308,Male,25-34,Artist
309,Male,25-34,College/Grad Student
310,Female,18-24,College/Grad Student
311,Male,18-24,College/Grad Student
312,Female,50-55,Artist
313,Female,18-24,College/Grad Student
314,Female,56+,Sales/Marketing
315,Female,56+,Academic/Educator
316,Male,56+,Sales/Marketing
317,Male,35-44,Executive/Managerial
318,Female,56+,Sales/Marketing
319,Female,50-55,Doctor/Health Care
320,Male,35-44,Doctor/Health Care
321,Male,18-24,College/Grad Student
322,Male,56+,Programmer
323,Male,45-49,Retired
324,Male,35-44,Programmer
325,Female,50-55,Clerical/Admin
326,Male,50-55,Programmer
327,Male,35-44,Technician/Engineer
328,Male,35-44,Retired
329,Male,35-44,Executive/Managerial
330,Male,56+,Executive/Managerial
331,Male,25-34,Executive/Managerial
332,Male,50-55,Academic/Educator
333,Male,35-44,Artist
334,Female,56+,Artist
335,Male,35-44,Technician/Engineer
336,Male,18-24,Other
337,Male,18-24,Tradesman/Craftsman
338,Male,35-44,Executive/Managerial
339,Male,50-55,Executive/Managerial
340,Female,25-34,Clerical/Admin
341,Female,56+,Sales/Marketing
342,Male,18-24,Retired
343,Female,35-44,Clerical/Admin
344,Male,35-44,College/Grad Student
345,Male,25-34,Retired
346,Female,25-34,Other
347,Female,56+,Academic/Educator
348,Male,50-55,Executive/Managerial
349,Male,Under 18,Scientist
350,Male,45-49,Unemployed
351,Male,18-24,College/Grad Student
352,Male,18-24,College/Grad Student
353,Female,35-44,Executive/Managerial
354,Male,35-44,Academic/Educator
355,Male,18-24,Clerical/Admin
356,Male,56+,Unemployed
357,Male,18-24,Other
358,Female,56+,Academic/Educator
359,Male,25-34,Programmer
360,Male,35-44,Programmer
361,Female,25-34,College/Grad Student
362,Male,35-44,Unemployed
363,Male,18-24,Scientist
364,Female,35-44,Academic/Educator
365,Female,18-24,College/Grad Student
366,Male,50-55,Homemaker
367,Male,50-55,Retired
368,Male,25-34,Other
369,Male,35-44,Academic/Educator
370,Male,18-24,Programmer
371,Male,18-24,College/Grad Student
372,Female,18-24,College/Grad Student
373,Female,25-34,Artist
374,Female,35-44,College/Grad Student
375,Male,25-34,Artist
376,Male,35-44,Academic/Educator
377,Male,25-34,Programmer
378,Female,18-24,Other
379,Female,35-44,Academic/Educator
380,Male,25-34,Artist
381,Male,35-44,Programmer
382,Female,35-44,Unemployed
383,Female,25-34,Executive/Managerial
384,Male,25-34,Programmer
385,Male,25-34,Doctor/Health Care
386,Male,25-34,Other
387,Female,35-44,Executive/Managerial
388,Female,25-34,Other
389,Male,25-34,Doctor/Health Care
390,Male,25-34,College/Grad Student
391,Male,45-49,Programmer
392,Male,18-24,Executive/Managerial
393,Male,35-44,Programmer
394,Male,18-24,Other
395,Male,18-24,Customer Service
396,Male,25-34,Academic/Educator
397,Male,35-44,Programmer
398,Male,25-34,Programmer
399,Female,35-44,Doctor/Health Care
400,Female,18-24,Clerical/Admin
401,Male,18-24,Other
402,Male,25-34,Programmer
403,Male,18-24,College/Grad Student
404,Male,18-24,College/Grad Student
405,Male,56+,Academic/Educator
406,Male,25-34,Unemployed
407,Male,18-24,Programmer
408,Male,25-34,Programmer
409,Male,18-24,Retired
410,Female,25-34,Academic/Educator
411,Female,45-49,Academic/Educator
412,Male,35-44,Homemaker
413,Male,25-34,Programmer
414,Male,25-34,Other
415,Female,35-44,Other
416,Male,45-49,College/Grad Student
417,Female,25-34,Other
418,Female,25-34,Clerical/Admin
419,Male,18-24,Clerical/Admin
420,Male,35-44,Academic/Educator
421,Female,45-49,Clerical/Admin
422,Male,56+,Programmer
423,Male,18-24,College/Grad Student
424,Male,25-34,Programmer
425,Male,25-34,Retired
426,Male,18-24,College/Grad Student
427,Male,35-44,Retired
428,Female,18-24,College/Grad Student
429,Male,18-24,Other
430,Female,18-24,Scientist
431,Male,18-24,Scientist
432,Male,45-49,Lawyer
433,Male,50-55,Doctor/Health Care
434,Female,45-49,Clerical/Admin
435,Male,25-34,Executive/Managerial
436,Male,18-24,College/Grad Student
437,Male,35-44,Programmer
438,Male,18-24,Programmer
439,Male,35-44,College/Grad Student
440,Male,56+,Academic/Educator
441,Male,35-44,Academic/Educator
442,Male,25-34,Academic/Educator
443,Male,25-34,Clerical/Admin
444,Male,56+,Other
445,Male,45-49,Retired
446,Female,50-55,Other
447,Female,45-49,Programmer
448,Male,25-34,Programmer
449,Male,25-34,Executive/Managerial
450,Male,45-49,Academic/Educator
451,Male,56+,Sales/Marketing
452,Male,50-55,Programmer
453,Male,18-24,College/Grad Student
454,Male,25-34,Unemployed
455,Female,35-44,Artist
456,Male,35-44,Other
457,Male,18-24,College/Grad Student
458,Male,50-55,Lawyer
459,Female,18-24,College/Grad Student
460,Male,45-49,Technician/Engineer
461,Male,50-55,Executive/Managerial
462,Male,18-24,Lawyer
463,Male,25-34,Executive/Managerial
464,Female,18-24,College/Grad Student
465,Male,18-24,Tradesman/Craftsman
466,Male,25-34,Customer Service
467,Female,35-44,Clerical/Admin
468,Female,Under 18,Scientist
469,Male,35-44,Doctor/Health Care
470,Female,Under 18,Scientist
471,Male,35-44,Executive/Managerial
472,Male,35-44,Other
473,Female,18-24,College/Grad Student
474,Male,25-34,Programmer
475,Female,25-34,Artist
476,Male,35-44,Other
477,Male,35-44,College/Grad Student
478,Male,50-55,Lawyer
479,Male,25-34,Retired
480,Female,18-24,College/Grad Student
481,Male,45-49,Executive/Managerial
482,Male,25-34,College/Grad Student
483,Male,18-24,Retired
484,Female,Under 18,Scientist
485,Male,56+,Executive/Managerial
486,Male,56+,Other
487,Female,35-44,Programmer
488,Male,25-34,Retired
489,Male,18-24,College/Grad Student
490,Male,Under 18,Scientist
491,Male,18-24,College/Grad Student
492,Male,25-34,Retired
493,Male,50-55,Executive/Managerial
494,Female,35-44,Other
495,Male,18-24,Scientist
496,Male,18-24,College/Grad Student
497,Female,25-34,Programmer
498,Male,35-44,Programmer
499,Female,25-34,Academic/Educator
500,Female,18-24,Artist
501,Male,25-34,Artist
502,Male,35-44,Doctor/Health Care
503,Male,35-44,Programmer
504,Male,25-34,Artist
505,Male,35-44,Programmer
506,Male,25-34,Lawyer
507,Female,25-34,Other
508,Male,25-34,Retired
509,Male,25-34,Artist
510,Male,18-24,Retired
511,Female,45-49,College/Grad Student
512,Male,35-44,Other
513,Male,25-34,Other
514,Male,25-34,Artist
515,Male,25-34,Academic/Educator
516,Female,56+,College/Grad Student
517,Female,25-34,College/Grad Student
518,Female,35-44,Retired
519,Female,35-44,College/Grad Student
520,Female,35-44,Unemployed
521,Male,56+,Executive/Managerial
522,Male,25-34,Retired
523,Male,50-55,Executive/Managerial
524,Male,18-24,Other
525,Male,35-44,Doctor/Health Care
526,Male,45-49,Programmer
527,Female,25-34,Artist
528,Female,18-24,Programmer
529,Male,35-44,Retired
530,Male,25-34,Artist
531,Female,18-24,College/Grad Student
532,Male,25-34,Executive/Managerial
533,Male,25-34,Retired
534,Male,25-34,Homemaker
535,Male,35-44,Doctor/Health Care
536,Male,25-34,Unemployed
537,Male,45-49,College/Grad Student
538,Male,56+,Lawyer
539,Male,25-34,Artist
540,Male,18-24,Academic/Educator
541,Female,18-24,College/Grad Student
542,Male,18-24,College/Grad Student
543,Male,25-34,Customer Service
544,Male,35-44,Retired
545,Male,35-44,Programmer
546,Female,25-34,Other
547,Male,35-44,Retired
548,Female,35-44,Lawyer
549,Male,25-34,Doctor/Health Care
550,Male,45-49,Retired
551,Male,35-44,Unemployed
552,Male,50-55,Technician/Engineer
553,Male,25-34,Artist
554,Male,25-34,Retired
555,Male,18-24,College/Grad Student
556,Female,25-34,Sales/Marketing
557,Male,56+,Academic/Educator
558,Male,35-44,Unemployed
559,Female,25-34,Executive/Managerial
560,Male,45-49,Homemaker
561,Female,18-24,College/Grad Student
562,Male,35-44,Unemployed
563,Male,25-34,College/Grad Student
564,Male,45-49,Academic/Educator
565,Male,25-34,Lawyer
566,Male,25-34,Programmer
567,Male,35-44,Unemployed
568,Female,50-55,Programmer
569,Female,18-24,College/Grad Student
570,Male,25-34,College/Grad Student
571,Male,50-55,Customer Service
572,Male,18-24,College/Grad Student
573,Female,35-44,Artist
574,Male,25-34,Tradesman/Craftsman
575,Male,25-34,Retired
576,Female,45-49,Homemaker
577,Male,35-44,Other
578,Male,18-24,Programmer
579,Male,25-34,Customer Service
580,Male,Under 18,Scientist
581,Male,50-55,College/Grad Student
582,Male,18-24,College/Grad Student
583,Female,25-34,Other
584,Female,25-34,Other
585,Male,18-24,Academic/Educator
586,Male,35-44,College/Grad Student
587,Male,25-34,Unemployed
588,Female,25-34,Programmer
589,Male,18-24,Artist
590,Female,35-44,Doctor/Health Care
591,Male,25-34,Other
592,Male,18-24,Other
593,Female,50-55,Academic/Educator
594,Female,56+,Sales/Marketing
595,Male,25-34,Executive/Managerial
596,Female,25-34,Academic/Educator
597,Male,35-44,Retired
598,Male,35-44,Executive/Managerial
599,Male,50-55,Doctor/Health Care
600,Male,35-44,Programmer
601,Female,18-24,Unemployed
602,Female,56+,Doctor/Health Care
603,Female,25-34,Doctor/Health Care
604,Male,45-49,Programmer
605,Female,18-24,College/Grad Student
606,Female,Under 18,Scientist
607,Male,25-34,Other
608,Male,18-24,College/Grad Student
609,Male,25-34,Executive/Managerial
610,Male,25-34,College/Grad Student
611,Male,35-44,Other
612,Male,50-55,Executive/Managerial
613,Male,35-44,Unemployed
614,Male,35-44,Academic/Educator
615,Male,50-55,Programmer
616,Male,25-34,Executive/Managerial
617,Female,25-34,Executive/Managerial
618,Male,25-34,Other
619,Female,18-24,Academic/Educator
620,Male,18-24,Other
621,Male,18-24,College/Grad Student
622,Male,25-34,Other
623,Male,25-34,Programmer
624,Male,25-34,Academic/Educator
625,Female,35-44,Retired
626,Male,18-24,College/Grad Student
627,Male,50-55,Artist
628,Female,35-44,Other
629,Female,Under 18,Scientist
630,Female,35-44,College/Grad Student
631,Male,35-44,Programmer
632,Male,45-49,Programmer
633,Male,25-34,Programmer
634,Female,Under 18,Scientist
635,Male,56+,Programmer
636,Male,18-24,Unemployed
637,Male,35-44,Retired
638,Male,25-34,Doctor/Health Care
639,Male,45-49,Programmer
640,Male,18-24,College/Grad Student
641,Female,35-44,Other
642,Female,35-44,Academic/Educator
643,Male,25-34,Artist
644,Male,25-34,Unemployed
645,Male,35-44,Unemployed
646,Male,35-44,Executive/Managerial
647,Male,35-44,Retired
648,Female,25-34,Retired
649,Male,25-34,College/Grad Student
650,Male,25-34,Programmer
651,Male,35-44,Executive/Managerial
652,Male,18-24,Unemployed
653,Male,56+,Sales/Marketing
654,Male,50-55,Executive/Managerial
655,Female,25-34,Artist
656,Female,45-49,Lawyer
657,Female,50-55,Sales/Marketing
658,Female,25-34,Other
659,Female,25-34,Other
660,Male,45-49,Lawyer
661,Male,45-49,Academic/Educator
662,Male,18-24,College/Grad Student
663,Female,25-34,Executive/Managerial
664,Male,35-44,Technician/Engineer
665,Male,18-24,Artist
666,Female,18-24,Other
667,Male,25-34,Technician/Engineer
668,Female,25-34,Clerical/Admin
669,Male,25-34,Programmer
670,Male,25-34,Retired
671,Male,18-24,College/Grad Student
672,Male,35-44,Executive/Managerial
673,Male,25-34,Unemployed
674,Male,25-34,Programmer
675,Male,25-34,Unemployed
676,Male,18-24,Lawyer
677,Male,50-55,Artist
678,Male,25-34,Other
679,Male,35-44,Lawyer
680,Male,25-34,Retired
681,Male,35-44,Executive/Managerial
682,Male,25-34,College/Grad Student
683,Male,25-34,College/Grad Student
684,Male,25-34,College/Grad Student
685,Male,25-34,College/Grad Student
686,Male,18-24,College/Grad Student
687,Female,25-34,Executive/Managerial
688,Male,56+,Sales/Marketing
689,Female,50-55,Other
690,Male,25-34,Retired
691,Male,35-44,Programmer
692,Female,25-34,Other
693,Male,35-44,Retired
694,Male,18-24,College/Grad Student
695,Female,18-24,Academic/Educator
696,Male,25-34,Retired
697,Female,50-55,Doctor/Health Care
698,Male,18-24,College/Grad Student
699,Male,18-24,Other
700,Male,50-55,Programmer
701,Female,18-24,College/Grad Student
702,Male,35-44,Executive/Managerial
703,Female,56+,Academic/Educator
704,Female,35-44,Retired
705,Male,25-34,College/Grad Student
706,Male,35-44,Unemployed
707,Male,35-44,Executive/Managerial
708,Male,25-34,Other
709,Male,18-24,Other
710,Male,25-34,Unemployed
711,Male,25-34,Technician/Engineer
712,Male,25-34,Other
713,Male,35-44,Executive/Managerial
714,Male,18-24,College/Grad Student
715,Male,18-24,Other
716,Male,18-24,College/Grad Student
717,Male,25-34,Programmer
718,Male,18-24,Artist
719,Male,Under 18,Other
720,Male,18-24,Other
721,Female,35-44,Sales/Marketing
722,Male,25-34,Retired
723,Male,25-34,Retired
724,Male,50-55,Sales/Marketing
725,Male,56+,Programmer
726,Female,25-34,Sales/Marketing
727,Male,35-44,Programmer
728,Male,25-34,Doctor/Health Care
729,Male,35-44,Retired
730,Male,25-34,Other
731,Male,45-49,Clerical/Admin
732,Male,25-34,Executive/Managerial
733,Male,35-44,Lawyer
734,Male,25-34,Executive/Managerial
735,Male,25-34,College/Grad Student
736,Male,18-24,Retired
737,Male,Under 18,Tradesman/Craftsman
738,Male,18-24,Programmer
739,Male,35-44,Retired
740,Male,25-34,College/Grad Student
741,Male,25-34,Customer Service
742,Male,18-24,Other
743,Female,Under 18,Artist
744,Male,25-34,Programmer
745,Male,Under 18,Scientist
746,Female,18-24,Tradesman/Craftsman
747,Male,18-24,College/Grad Student
748,Male,25-34,Other
749,Male,35-44,Technician/Engineer
750,Female,35-44,Sales/Marketing
751,Female,25-34,Programmer
752,Female,25-34,Clerical/Admin
753,Male,Under 18,Scientist
754,Male,35-44,Executive/Managerial
755,Female,35-44,Other
756,Male,35-44,Other
757,Male,25-34,Retired
758,Male,35-44,Executive/Managerial
759,Female,56+,Clerical/Admin
760,Male,56+,Homemaker
761,Male,18-24,Executive/Managerial
762,Male,Under 18,Scientist
763,Male,18-24,Scientist
764,Male,18-24,Unemployed
765,Male,25-34,Programmer
766,Female,25-34,Executive/Managerial
767,Male,25-34,Retired
768,Male,25-34,Retired
769,Male,45-49,Programmer
770,Male,18-24,College/Grad Student
771,Female,50-55,Academic/Educator
772,Male,18-24,Retired
773,Male,25-34,Doctor/Health Care
774,Male,18-24,College/Grad Student
775,Male,Under 18,Programmer
776,Female,25-34,Clerical/Admin
777,Male,18-24,Tradesman/Craftsman
778,Male,18-24,Programmer
779,Male,25-34,Other
780,Male,25-34,Programmer
781,Male,18-24,College/Grad Student
782,Male,56+,Academic/Educator
783,Male,25-34,College/Grad Student
784,Male,18-24,Other
785,Male,18-24,Tradesman/Craftsman
786,Male,25-34,Other
787,Male,18-24,College/Grad Student
788,Male,25-34,Other
789,Male,18-24,Academic/Educator
790,Male,25-34,Programmer
791,Male,35-44,Executive/Managerial
792,Male,25-34,Programmer
793,Female,35-44,College/Grad Student
794,Male,50-55,Unemployed
795,Female,35-44,College/Grad Student
796,Male,50-55,Doctor/Health Care
797,Female,50-55,Executive/Managerial
798,Female,25-34,Unemployed
799,Female,25-34,Customer Service
800,Female,35-44,Retired
801,Female,25-34,Unemployed
802,Male,25-34,Lawyer
803,Male,18-24,College/Grad Student
804,Male,25-34,Unemployed
805,Male,35-44,Retired
806,Male,35-44,Other
807,Male,18-24,College/Grad Student
808,Male,25-34,Executive/Managerial
809,Male,25-34,Programmer
810,Male,25-34,Retired
811,Male,50-55,Other
812,Male,25-34,Doctor/Health Care
813,Male,18-24,College/Grad Student
814,Female,18-24,College/Grad Student
815,Male,25-34,College/Grad Student
816,Male,45-49,Other
817,Male,18-24,College/Grad Student
818,Male,18-24,College/Grad Student
819,Male,35-44,Executive/Managerial
820,Male,35-44,Executive/Managerial
821,Male,18-24,Artist
822,Female,25-34,Academic/Educator
823,Male,25-34,Other
824,Male,35-44,Retired
825,Male,56+,Academic/Educator
826,Female,35-44,Academic/Educator
827,Male,45-49,Artist
828,Male,18-24,College/Grad Student
829,Male,Under 18,Tradesman/Craftsman
830,Male,35-44,Executive/Managerial
831,Female,45-49,Other
832,Male,18-24,Artist
833,Male,35-44,Executive/Managerial
834,Female,35-44,Retired
835,Male,56+,Other
836,Male,25-34,Programmer
837,Male,56+,Executive/Managerial
838,Male,50-55,Programmer
839,Male,25-34,Other
840,Female,25-34,Clerical/Admin
841,Female,50-55,College/Grad Student
842,Female,18-24,Other
843,Male,25-34,Executive/Managerial
844,Male,25-34,Other
845,Female,18-24,Other
846,Male,25-34,Customer Service
847,Female,25-34,Executive/Managerial
848,Male,25-34,Homemaker
849,Male,25-34,Clerical/Admin
850,Male,35-44,Other
851,Male,18-24,College/Grad Student
852,Male,25-34,Customer Service
853,Male,25-34,Programmer
854,Female,25-34,Lawyer
855,Female,18-24,Artist
856,Female,45-49,Doctor/Health Care
857,Male,35-44,Programmer
858,Male,35-44,College/Grad Student
859,Male,25-34,Retired
860,Male,18-24,Other
861,Male,25-34,Executive/Managerial
862,Male,35-44,Executive/Managerial
863,Male,25-34,Executive/Managerial
864,Female,25-34,Other
865,Male,35-44,Academic/Educator
866,Male,Under 18,Scientist
867,Male,45-49,Retired
868,Male,50-55,Programmer
869,Male,18-24,Unemployed
870,Female,25-34,Academic/Educator
871,Male,Under 18,Scientist
872,Male,50-55,Academic/Educator
873,Male,56+,Doctor/Health Care
874,Male,45-49,Homemaker
875,Male,Under 18,Scientist
876,Male,25-34,College/Grad Student
877,Male,25-34,Other
878,Male,18-24,Artist
879,Male,45-49,Lawyer
880,Male,35-44,Programmer
881,Male,18-24,College/Grad Student
882,Male,18-24,Artist
883,Female,35-44,College/Grad Student
884,Male,Under 18,Scientist
885,Male,35-44,Other
886,Female,56+,Other
887,Female,56+,Lawyer
888,Female,Under 18,Scientist
889,Male,45-49,Unemployed
890,Male,18-24,College/Grad Student
891,Male,25-34,Academic/Educator
892,Male,35-44,Other
893,Female,50-55,Doctor/Health Care
894,Male,18-24,College/Grad Student
895,Male,50-55,Academic/Educator
896,Male,18-24,Homemaker
897,Male,25-34,Doctor/Health Care
898,Male,25-34,Executive/Managerial
899,Female,25-34,Academic/Educator
900,Female,56+,Sales/Marketing
901,Female,56+,Other
902,Male,56+,Other
903,Male,56+,Sales/Marketing
904,Male,35-44,Unemployed
905,Female,45-49,Retired
906,Male,Under 18,Scientist
